# Energy (meV) Intensity (arb. units)
4.74021861 0.00000000
4.78164101 2852.71216100
4.82360875 759072.92090000
4.86613144 2411304.50700000
4.90921891 4318672.38400000
4.95288120 6044462.67900000
4.99712859 6706039.10500000
5.04197157 7056292.48800000
5.08742089 7400878.28000000
5.13348753 7679711.92100000
5.18018271 8012612.57600000
5.22751792 8275812.11500000
5.27550491 8550013.91500000
5.32415571 8817464.14300000
5.37348262 9037162.05300000
5.42349821 9260102.80200000
5.47421537 9477510.69300000
5.52564729 9670140.49800000
5.57780746 9892230.71500000
5.63070968 10022753.09000000
5.68436811 10212854.46000000
5.73879723 10394601.13000000
5.79401186 10564153.05000000
5.85002720 10714806.03000000
5.90685880 10870332.32000000
5.96452259 11030283.65000000
6.02303492 11154420.51000000
6.08241250 11289040.53000000
6.14267248 11445786.06000000
6.20383243 11574243.08000000
6.26591037 11691977.99000000
6.32892475 11832616.48000000
6.39289451 11962285.79000000
6.45783906 12089902.12000000
6.52377830 12192736.75000000
6.59073265 12327414.83000000
6.65872306 12453952.36000000
6.72777102 12580148.84000000
6.79789856 12664132.75000000
6.86912831 12820129.83000000
6.94148350 12943265.46000000
7.01498796 13039605.98000000
7.08966615 13145697.77000000
7.16554321 13249748.03000000
7.24264492 13356702.47000000
7.32099779 13488232.86000000
7.40062904 13531621.88000000
7.48156663 13666951.25000000
7.56383928 13756414.31000000
7.64747652 13906680.93000000
7.73250871 13989974.79000000
7.81896702 14105471.23000000
7.90688355 14194101.83000000
7.99629124 14295913.43000000
8.08722404 14358755.96000000
8.17971681 14459765.46000000
8.27380546 14554979.17000000
8.36952689 14648277.27000000
8.46691912 14810754.37000000
8.56602125 14862137.62000000
8.66687356 14939819.21000000
8.76951748 15057804.79000000
8.87399572 15187241.95000000
8.98035224 15265140.46000000
9.08863233 15395285.51000000
9.19888267 15491740.53000000
9.31115134 15640075.50000000
9.42548792 15667368.90000000
9.54194350 15804119.59000000
9.66057077 15923944.68000000
9.78142407 16038235.71000000
9.90455943 16114734.36000000
10.03003469 16282490.63000000
10.15790950 16341798.40000000
10.28824544 16500895.82000000
10.42110608 16586841.37000000
10.55655704 16713707.31000000
10.69466611 16788919.42000000
10.83550329 16928481.45000000
10.97914090 17039928.10000000
11.12565369 17092312.12000000
11.27511892 17137977.13000000
11.42761644 17216956.25000000
11.58322884 17129935.78000000
11.74204153 17040374.62000000
11.90414287 16913469.92000000
12.06962430 16641867.76000000
12.23858043 16263186.53000000
12.41110924 15830070.02000000
12.58731218 15359660.20000000
12.76729431 14910006.89000000
12.95116449 14348314.11000000
13.13903551 13785076.83000000
13.33102429 13066311.25000000
13.52725206 12142135.65000000
13.72784454 11036097.18000000
13.93293213 9829283.64200000
14.14265016 7917322.13400000
14.35713907 4912410.53400000
14.57654469 2399537.73400000
14.80101843 488817.83070000
15.03071762 0.00000000
15.26580569 0.00000000
